Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.0008446,-0.00032953,0.16685,0,0,0,5.6356,0.014874,5.3738E-06,-3.1342E-06,0.0069204,2.6353E-05,0.01097,0,0,0,0,0,0,package://full-body-leg/meshes/base_link.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://full-body-leg/meshes/base_link.STL,,0-00全.STEP-1/0-00(2)_0-00全.STEP-1/复件 复件 0_0-00(2)_0-00全.STEP-1;0-00全.STEP-1/0-00(2)_0-00全.STEP-1/复件 0-1_0-00(2)_0-00全.STEP-1;0-00全.STEP-1/0-00(2)_0-00全.STEP-1/复件 _A_0-00(2)_0-00全.STEP-1;0-00全.STEP-1/0-00(2)_0-00全.STEP-1/复件 ASM0001_0-00(2)_0-00全.STEP-1,base_cord,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
l_leg,-0.025744,5.0902E-05,-0.16255,0,0,0,1.2043,0.0014409,-2.8915E-07,2.4641E-05,0.0016716,-7.3306E-06,0.00090611,0,0,0,0,0,0,package://full-body-leg/meshes/l_leg.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://full-body-leg/meshes/l_leg.STL,,0-00全.STEP-1/0-00(2)_0-00全.STEP-1/复件 _0012_0-00(2)_0-00全.STEP-1,l_leg_cord,l_leg_axis,l_leg_joint,revolute,0.027167,0.095531,0,0,0,-0.00069811,base_link,1,0,0,0,0,0,0,,,,,,,,
r_leg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,package://full-body-leg/meshes/r_leg.STL,1,1,1,1,0,0,0,0,0,0,package://full-body-leg/meshes/r_leg.STL,,0-00全.STEP-1/0-00(2)_0-00全.STEP-1/复件 _0008_0-00(2)_0-00全.STEP-1,r_leg_cord,r_leg_axis,r_leg_joint,revolute,0.027033,-0.095569,0,0,0,0,base_link,-1,0.00069809,0,0,0,0,0,,,,,,,,
